Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Included / International,Price / International,Compare At Price / International,Status
nike-dunk-low-sp-kentucky-alternate,Nike Dunk Low SP Kentucky Alternate,"<p> Attention to all the fans of the <a href=""/collections/nike-dunk-low"" title=""Nike Dunk Low"">Nike Dunk Low</a>, the designers at the American brand have created a stunning Archeo Pink edition that you can find now at Costyled!</p>
<p>Undoubtedly one of the most popular colorways of the iconic Peter Moore silhouette, the Dunk Low Archeo Pink will add an irresistible touch of glamour to your every outfit.</p>
<p>Built around a traditional soft leather structure, the pair is stamped with Nike's legendary Swoosh and is displayed in an ultra-effective white and pink duo that offers endless matching possibilities, as long as you have a bit of imagination.</p>
<p>Released in France on November 29, 2021, this unique version of the Nike Dunk Low is aimed at a bold audience who will appreciate its charms while pairing them with a suitable outfit.</p>
<p>In the same vein, check out the <a href=""https://costyled.me/products/nike-dunk-low-pink-velvet""><strong>Nike Dunk Low Pink Velvet</strong></a>!</p>
<p><strong>Practical Advice</strong> : This model fits true to size, we recommend you take your usual size.</p>
<p><strong>Release Date : </strong>2021</p>
<p><strong>Colorway : </strong>White/Archeo Pink</p>",Nike,Apparel & Accessories > Shoes,"",available_google,true,Size,35.5 EU - 3.5 US,,,,,CU1726-100:35.5 EU,1600.0,shopify,0,continue,manual,1620.00,,true,true,CU1726-100:35.5 EU,https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Nike-Dunk-Low-SP-Kentucky-Alternate_1296x_5f4b38e7-f007-4cfe-8196-7ac304d3ddaf.jpg?v=1681660962,1,,false,,,,,,,,,,,,,,,,,kg,,,true,true,,,active
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,36 EU - 4 US,,,,,CU1726-100:36 EU,1600.0,shopify,0,continue,manual,1260.00,,true,true,CU1726-100:36 EU,https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Nike-Dunk-Low-SP-Kentucky-Alternate-2_1296x_1fb7b06f-9df7-4084-a30f-8849159edfb0.jpg?v=1681660963,2,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,36.5 EU - 4.5 US,,,,,CU1726-100:36.5 EU,1600.0,shopify,0,continue,manual,1230.00,,true,true,CU1726-100:36.5 EU,https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Nike-Dunk-Low-SP-Kentucky-Alternate-3_1296x_096fbf38-7892-4765-8fb7-d40d1aa284e4.jpg?v=1681660965,3,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,37.5 EU - 5 US,,,,,CU1726-100:37.5 EU,1600.0,shopify,0,continue,manual,1230.00,,true,true,CU1726-100:37.5 EU,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,38 EU - 5.5 US,,,,,CU1726-100:38 EU,1600.0,shopify,0,continue,manual,1260.00,,true,true,CU1726-100:38 EU,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,38.5 EU - 6 US,,,,,CU1726-100:38.5 EU,1600.0,shopify,0,continue,manual,1200.00,,true,true,CU1726-100:38.5 EU,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,39 EU - 6.5 US,,,,,CU1726-100:39 EU,1600.0,shopify,0,continue,manual,1200.00,,true,true,CU1726-100:39 EU,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,40 EU - 7 US,,,,,CU1726-100:40 EU,1600.0,shopify,0,continue,manual,1180.00,,true,true,CU1726-100:40 EU,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,40.5 EU - 7.5 US,,,,,CU1726-100:40.5 EU,1600.0,shopify,0,continue,manual,1150.00,,true,true,CU1726-100:40.5 EU,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
nike-dunk-low-sp-kentucky-alternate,,,,,,,,,41 EU - 8 US,,,,,CU1726-100:41 EU,1600.0,shopify,0,continue,manual,1150.00,,true,true,CU1726-100:41 EU,,,,,,,,,,,,,,,,,,,,,kg,,640.00,,,,,
